case,input_folder,control,initial_model,selected_iteration,rms,status,convergence,selected_model_sha256,source_commit
H0_ABIC_L2,inputs/H0_uniform_DHEXA,control_ABIC_L2.dat,resistivity_block_iter0.dat,17,1.7446,final,reference/convergence/H0_ABIC_L2.cnv,227452c1d3547f6ced8b9e96b821f3c9f77a582541301f52ecc0133acdeb8c3d,a52ad40240495be5d7e28fd800f89f1e4465585d
H1_ABIC_L2,inputs/H1_locally_refined_DHEXA,control_ABIC_L2.dat,resistivity_block_iter0.dat,11,1.7771,controlled-final,reference/convergence/H1_ABIC_L2.cnv,30923f8b9b9bfe3b7284135296493288d0e10dfd031881910bdde24ccc2b7778,a52ad40240495be5d7e28fd800f89f1e4465585d
H2_ABIC_L2,inputs/H2_nested_refined_DHEXA,control_ABIC_L2.dat,resistivity_block_iter0.dat,13,1.7374,final,reference/convergence/H2_ABIC_L2.cnv,cfa2748ffe941972b014a533d099e140b35a3ef604345a2c44a375af7b94b6e9,a52ad40240495be5d7e28fd800f89f1e4465585d
T0_ABIC_L2,inputs/T0_tetrahedral,control_ABIC_L2.dat,resistivity_block_iter0.dat,19,1.6914,final,reference/convergence/T0_ABIC_L2.cnv,fb9f1c79004f7f73825de751bfd815bb366c463f3042b3b5bde43919955147d3,a52ad40240495be5d7e28fd800f89f1e4465585d
H2_ABIC_L1,inputs/H2_nested_refined_DHEXA,control_ABIC_L1.dat,resistivity_block_iter0.dat,16,1.8026,final,reference/convergence/H2_ABIC_L1.cnv,95f8d4b5bb2b2138f876b17b2100a82a563d5bbbc0dc40ee70523aee2ed56c99,a52ad40240495be5d7e28fd800f89f1e4465585d
H2_ABIC_L2_distortion,inputs/H2_nested_refined_DHEXA,control_ABIC_L2_distortion.dat,restart_iter13/resistivity_block_iter0.dat,2,1.7260,restart-final,reference/convergence/H2_ABIC_L2_distortion.cnv,bb58eb316a56b8ce153adaef7fcdc7ec9099dcb0b71cd2c028e33d12a5037bfb,a52ad40240495be5d7e28fd800f89f1e4465585d
